Date,Close/Last,Volume,Open,High,Low
03/10/2023,$148.50,68572400,$150.21,$150.94,$147.6096
03/09/2023,$150.59,53833580,$153.559,$154.535,$150.225
03/08/2023,$152.87,47204790,$152.81,$153.47,$151.83
03/07/2023,$151.60,56182030,$153.70,$154.0299,$151.13
03/06/2023,$153.83,87558030,$153.785,$156.30,$153.46
03/03/2023,$151.03,70732300,$148.045,$151.11,$147.33
03/02/2023,$145.91,52279760,$144.38,$146.71,$143.90
03/01/2023,$145.31,55478990,$146.83,$147.2285,$145.01
02/28/2023,$147.41,50547000,$147.05,$149.08,$146.83
02/27/2023,$147.92,44998470,$147.71,$149.17,$147.45
02/24/2023,$146.71,55469610,$147.11,$147.19,$145.7202
02/23/2023,$149.40,48394250,$150.09,$150.34,$147.24
02/22/2023,$148.91,51011310,$148.87,$149.95,$147.16
02/21/2023,$148.48,58867230,$150.20,$151.30,$148.405
02/17/2023,$152.55,59144120,$152.35,$153.00,$150.85
02/16/2023,$153.71,68167940,$153.51,$156.33,$153.3475
02/15/2023,$155.33,65669250,$153.11,$155.50,$152.88
02/14/2023,$153.20,61707570,$152.12,$153.77,$150.86
02/13/2023,$153.85,62199010,$150.952,$154.26,$150.92
